This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"GFRI","GLENNS FERRY",-115.3569,42.8667,922,"AGRIMET","33"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET","34"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","36"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET","37"
"HRFO","HEREFORD",-118.0200,44.4881,1097,"AGRIMET","38"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","39"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET","40"
"IMBO","IMBLER",-117.9667,45.4333,838,"AGRIMET","41"
"KFLO","KLAMATH FALL",-121.7550,42.1647,1250,"AGRIMET","42"
"KFLW","KETTLE FALLS",-118.1242,48.5950,408,"AGRIMET","43"
"KTBI","KETTLE BUTTE",-112.3258,43.5486,1565,"AGRIMET","44"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","45"
"LBRW","LAKE BRYAN-R",-117.6542,46.6975,192,"AGRIMET","46"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","47"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET","48"
"LORO","LORELLA",-121.2242,42.0778,1268,"AGRIMET","50"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","51"
"MASW","MANSON",-120.1244,47.9169,601,"AGRIMET","52"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","53"
"MNTI","MONTEVIEW",-112.5358,44.0150,1480,"AGRIMET","54"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","55"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET","57"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET","58"
"ONTO","ONTARIO",-117.0153,43.9778,689,"AGRIMET","59"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET","60"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET","61"
"PICI","PICABO",-114.1658,43.3117,1494,"AGRIMET","62"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET","63"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","64"
"POBO","POWELL BUTTE",-120.9497,44.2483,975,"AGRIMET","65"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET","66"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET","67"
"RTHI","RATHDRUM PRA",-116.8414,47.7956,698,"AGRIMET","68"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET","69"
"SBMW","SEVEN BAYS M",-118.3411,47.8553,418,"AGRIMET","70"
"SIGM","ST. IGNATIUS",-114.0981,47.3133,896,"AGRIMET","71"
"SILW","SILCOTT ISLA",-117.1847,46.4186,251,"AGRIMET","72"
"TWFI","TWIN FALLS (",-114.3453,42.5461,1195,"AGRIMET","73"
"WRDO","WORDEN",-121.7869,42.0169,1244,"AGRIMET","74"
"K40B","CLAYTON LAKE",-69.5300,46.6200,314,"ASOS","2442"
"K40J","PERRY-FOLEY",-83.5736,30.0719,13,"ASOS","2444"
"K79J","ANDALUSIA/OP",-86.3833,31.3000,94,"ASOS","2568"
"K9L2","EDWARDS AIR",-117.8631,34.9908,701,"ASOS","2653"
"KACK","NANTUCKET ME",-70.0597,41.2539,14,"ASOS","2672"
"KAFK","NEBRASKA CIT",-95.8658,40.6069,354,"ASOS","2692"
"KAIA","ALLIANCE MUN",-102.8000,42.0572,1197,"ASOS","2700"
"KAOO","ALTOONA/BLAI",-78.3169,40.3000,458,"ASOS","2735"
"KASE","ASPEN/SARDY",-106.8694,39.2289,2382,"ASOS","2759"
"KATS","ARTESIA",-104.4675,32.8525,1079,"ASOS","2767"
"KATY","WATERTOWN MU",-97.1494,44.9047,532,"ASOS","2771"
"KAVC","SOUTH HILL/M",-78.0542,36.6886,135,"ASOS","2781"
"KAVX","AVALON/CATAL",-118.4158,33.4050,488,"ASOS","2785"
"KBAN","USMC MTN WAR",-119.5169,38.3500,2067,"ASOS","2807"
"KBFD","BRADFORD REG",-78.6358,41.7986,653,"ASOS","2832"
"KBKE","BAKER MUNICI",-117.8092,44.8372,1028,"ASOS","2865"
"KBLH","BLYTHE AIRPO",-114.7169,33.6192,121,"ASOS","2875"
"KBML","BERLIN MUNIC",-71.1786,44.5761,353,"ASOS","2883"
"KBNO","BURNS MUNI (",-118.9564,43.5950,1263,"ASOS","2888"
"KBQP","MOREHOUSE ME",-91.8806,32.7561,51,"ASOS","2903"
"KBTM","BUTTE/BERT M",-112.4975,45.9547,1690,"ASOS","2912"
"KBVE","BOOTHVILLE",-89.4000,29.3300,0,"ASOS","2923"
"KBVX","BATESVILLE (",-91.6500,35.7300,141,"ASOS","2930"
"KBZN","BOZEMAN/GALL",-111.1608,45.7881,1364,"ASOS","2942"
"KCDR","CHADRON MUNI",-103.0953,42.8375,1005,"ASOS","2976"
"KCEW","CRESTVIEW/BO",-86.5200,30.7722,65,"ASOS","2983"
"KCNY","MOAB/CANYONL",-109.7447,38.7600,1388,"ASOS","3041"
"KCQC","CLINES CORNE",-105.6600,35.0000,2160,"ASOS","3059"
"KCQW","CHERAW MUNIC",-79.9569,34.7128,73,"ASOS","3064"
"KCUL","CARMI MUNICI",-88.1231,38.0894,118,"ASOS","3087"
"KD07","FAITH",-102.0192,45.0319,787,"ASOS","3110"
"KDAG","BARSTOW-DAGG",-116.7867,34.8536,587,"ASOS","3126"
"KDHN","DOTHAN MUNIC",-85.4497,31.3214,122,"ASOS","3149"
"KDHT","DALHART MUNI",-102.5472,36.0233,1216,"ASOS","3151"
"KDLS","THE DALLES M",-121.1672,45.6186,75,"ASOS","3164"
"KDUX","MOORE COUNTY",-102.0131,35.8581,1129,"ASOS","3201"
"KE38","ALPINE-CASPA",-103.6836,30.3842,1376,"ASOS","3225"
"KEED","NEEDLES AIRP",-114.6233,34.7661,300,"ASOS","3243"
"KEEO","MEEKER",-107.8897,40.0422,1948,"ASOS","3245"
"KEKN","ELKINS/RANDO",-79.8528,38.8853,605,"ASOS","3265"
"KELD","EL DORADO/GO",-92.8133,33.2208,84,"ASOS","3268"
"KENV","WENDOVER (AU",-114.0300,40.7300,1292,"ASOS","3282"
"KEVW","EVANSTON/BUR",-111.0306,41.2731,2183,"ASOS","3308"
"KFFL","FAIRFIELD",-91.9800,41.0500,244,"ASOS","3361"
"KFST","FORT STOCKTO",-102.9167,30.9119,917,"ASOS","3410"
"KFVE","FRENCHVILLE",-68.3072,47.2850,301,"ASOS","3418"
"KGAD","GADSDEN MUNI",-86.0800,33.9700,173,"ASOS","3432"
"KGAG","GAGE/SHATTUC",-99.7689,36.2967,677,"ASOS","3434"
"KGAO","SOUTH LAFOUR",-90.2611,29.4447,0,"ASOS","3436"
"KGCD","GRANT COUNTY",-118.9625,44.4042,1127,"ASOS","3441"
"KGEY","GREYBULL/SOU",-108.0758,44.5158,1199,"ASOS","3453"
"KGGW","GLASGOW INTL",-106.6214,48.2139,699,"ASOS","3462"
"KGLH","GREENVILLE M",-90.9856,33.4828,40,"ASOS","3472"
"KGUP","GALLUP MUNI/",-108.7894,35.5111,1973,"ASOS","3513"
"KGZH","EVERGREEN",-87.0481,31.4189,78,"ASOS","3532"
"KHEY","HANCHEY AHP",-85.6667,31.3500,97,"ASOS","3560"
"KHHF","CANADIAN / H",-100.4000,35.9000,730,"ASOS","3568"
"KHKA","BLYTHEVILLE",-89.8325,35.9389,78,"ASOS","3577"
"KHRO","HARRISON/BOO",-93.1547,36.2617,416,"ASOS","3610"
"KHSP","HOT SPRINGS/",-79.8300,37.9500,1156,"ASOS","3617"
"KHTH","HAWTHORNE IN",-118.6315,38.5448,1285,"ASOS","3621"
"KHUF","TERRE HAUTE/",-87.3253,39.4417,178,"ASOS","3626"
"KHVR","HAVRE (AMOS)",-109.7633,48.5428,789,"ASOS","3631"
"KIEN","PINE RIDGE",-102.5231,43.0256,1015,"ASOS","3664"
"KIFA","IOWA FALLS M",-93.2700,42.4708,347,"ASOS","3666"
"KIGM","KINGMAN (AMO",-113.9331,35.2578,1050,"ASOS","3669"
"KINW","WINSLOW (AUT",-110.7208,35.0281,1505,"ASOS","3694"
"KJBR","JONESBORO MU",-90.6431,35.8372,79,"ASOS","3723"
"KJDN","JORDAN (RAMO",-106.9475,47.3258,811,"ASOS","3726"
"KJST","JOHNSTOWN/CA",-78.8339,40.3161,696,"ASOS","3745"
"KKLS","KELSO-LONGVE",-122.9000,46.1200,5,"ASOS","3763"
"KLBL","LIBERAL MUNI",-100.9700,37.0500,879,"ASOS","3797"
"KLCG","WAYNE MUNICI",-96.9814,42.2419,436,"ASOS","3801"
"KLDM","LUDINGTON/MA",-86.4100,43.9600,197,"ASOS","3806"
"KLLQ","MONTICELLO",-91.7511,33.6383,82,"ASOS","3837"
"KLNR","LONE ROCK RE",-90.1814,43.2119,219,"ASOS","3846"
"KLOR","LOWE AHP/FT.",-85.7483,31.3589,78,"ASOS","3850"
"KLPC","LOMPOC (AWOS",-120.4700,34.6700,27,"ASOS","3854"
"KLWS","LEWISTON (AM",-117.0144,46.3747,438,"ASOS","3886"
"KLWT","LEWISTOWN MU",-109.4664,47.0492,1270,"ASOS","3887"
"KMBG","MOBRIDGE",-100.4086,45.5500,522,"ASOS","3919"
"KMKG","MUSKEGON",-86.2367,43.1711,191,"ASOS","3983"
"KMLF","MILFORD MUNI",-113.0097,38.4225,1536,"ASOS","3996"
"KMLP","MULLAN PASS",-115.6697,47.4542,1829,"ASOS","3999"
"KMNI","MANNING / CO",-80.2167,33.5833,32,"ASOS","4012"
"KMPO","MT POCONO",-75.3961,41.1389,584,"ASOS","4022"
"KMRF","MARFA MUNI (",-104.0200,30.3700,1481,"ASOS","4034"
"KNUC","SAN CLEMENTE",-118.5811,33.0211,55,"ASOS","4154"
"KNXP","TWENTYNINE P",-116.1450,34.2944,626,"ASOS","4160"
"KOFK","NORFOLK/STEF",-97.4369,41.9806,479,"ASOS","4190"
"KOLF","WOLF POINT I",-105.5772,48.0944,605,"ASOS","4208"
"KOMH","ORANGE/ORANG",-78.0456,38.2472,142,"ASOS","4216"
"KONL","O'NEILL/BAKE",-98.6800,42.4700,619,"ASOS","4220"
"KOZR","CAIRNS AAF/O",-85.7200,31.2800,91,"ASOS","4264"
"KP59","COPPER HARBO",-87.8750,47.4669,190,"ASOS","4289"
"KPLN","PELLSTON/EMM",-84.7967,45.5708,220,"ASOS","4354"
"KPPQ","PITTSFIELD",-90.7783,39.6389,216,"ASOS","4373"
"KPRG","PARIS",-87.6697,39.7003,199,"ASOS","4380"
"KPRN","MACCRENSHAW",-86.6108,31.8456,137,"ASOS","4381"
"KREO","ROME",-117.8644,42.5906,1234,"ASOS","4608"
"KRIW","RIVERTON",-108.4464,43.0619,1684,"ASOS","4621"
"KRPH","GRAHAM MUNIC",-98.5553,33.1103,342,"ASOS","4649"
"KRQE","WINDOW ROCK",-109.0700,35.6500,2054,"ASOS","4652"
"KSBP","SAN LUIS OBI",-120.6361,35.2361,63,"ASOS","4714"
"KSDY","SIDNEY-RICHL",-104.2000,47.7000,605,"ASOS","4726"
"KSPD","SPRINGFIELD/",-102.6100,37.2800,1335,"ASOS","4805"
"KSPW","SPENCER",-95.2028,43.1656,408,"ASOS","4811"
"KSVC","SILVER CITY/",-108.1500,32.6300,1659,"ASOS","4842"
"KTCC","TUCUMCARI MU",-103.6031,35.1828,1239,"ASOS","4885"
"KTOI","TROY MUNICIP",-86.0122,31.8606,121,"ASOS","4920"
"KUIN","QUINCY MUNI/",-91.1944,39.9425,234,"ASOS","4981"
"KUNO","WEST PLAINS",-91.9050,36.8792,374,"ASOS","4988"
"KUTA","TUNICA MUNIC",-90.3467,34.6811,59,"ASOS","4992"
"KUVA","GARNER FIELD",-99.7436,29.2114,287,"ASOS","4995"
"KVTN","VALENTINE (A",-100.5514,42.8586,789,"ASOS","5033"
"010063","ADDISON",-87.1814,34.2031,233,"COOP","7860"
"010160","ALEXANDER CI",-85.9481,32.9453,224,"COOP","7868"
"010184","ALICEVILLE L",-88.2878,33.2100,50,"COOP","7872"
"010505","BANKHEAD LOC",-87.3572,33.4528,85,"COOP","7890"
"011288","CALERA",-86.7461,33.1106,162,"COOP","7921"
"011620","CHILDERSBURG",-86.3436,33.2822,127,"COOP","7936"
"011810","COFFEEVILLE",-88.1283,31.7556,7,"COOP","7944"
"012209","DECATUR 5 SE",-86.9539,34.5658,175,"COOP","7962"
"013043","FORT PAYNE",-85.7236,34.4406,280,"COOP","7994"
"013160","GAINESVILLE",-88.1342,32.8347,38,"COOP","7999"
"013251","GENEVA NO 2",-85.8708,31.0383,44,"COOP","8002"
"013573","GUNTERSVILLE",-86.3297,34.3344,176,"COOP","8015"
"013645","HAMILTON 3 S",-87.9914,34.0967,133,"COOP","8022"
"013930","HOLT LOCK AN",-87.4500,33.2533,59,"COOP","8034"
"014193","JACKSON",-87.9278,31.5250,67,"COOP","8043"
"014209","JACKSONVILLE",-85.7664,33.8167,209,"COOP","8045"
"015635","MOULTON 2",-87.2933,34.4856,197,"COOP","8105"
"016129","OPELIKA",-85.4492,32.6592,195,"COOP","8118"
"016196","OWENS CROSS",-86.4453,34.5528,180,"COOP","8120"
"017207","SAND MT SUBS",-85.9692,34.2872,335,"COOP","8162"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP","8165"
"017999","SYLACAUGA 4",-86.2114,33.2053,149,"COOP","8184"
"018380","TUSCALOOSA A",-87.6092,33.2222,52,"COOP","8198"
"018385","TUSCALOOSA O",-87.5936,33.2097,46,"COOP","8200"
"018673","WARRIOR LOCK",-87.8306,32.7744,21,"COOP","8219"
"020288","APACHE JUNCT",-111.4814,33.4625,631,"COOP","8250"
"020586","BAGDAD",-113.1739,34.5972,1205,"COOP","8274"
"020672","BEAVER DAM",-113.9425,36.8969,572,"COOP","8283"
"020678","BELLEMONT NW",-111.8214,35.2300,2180,"COOP","8285"
"022527","DIAMOND M RA",-113.3669,35.2967,1670,"COOP","8378"
"023501","GLOBE #3",-110.7933,33.3947,1116,"COOP","8428"
"024453","JEROME",-112.1114,34.7522,1509,"COOP","8481"
"024534","KARTCHNER CA",-110.3550,31.8350,1430,"COOP","8484"
"025418","MC NEAL",-109.6686,31.6017,1271,"COOP","8529"
"026282","PATAGONIA #2",-110.7517,31.5481,1277,"COOP","8584"
"026603","PINNACLE PEA",-111.8606,33.7275,782,"COOP","8611"
"026796","PRESCOTT",-112.4322,34.5706,1586,"COOP","8620"
"027619","SASABE",-111.5436,31.4831,1094,"COOP","8673"
"027716","SELIGMAN",-112.8797,35.3322,1600,"COOP","8679"
"027880","SIERRA VISTA",-110.2847,31.5553,1402,"COOP","8692"
"028396","TACNA 3 NE",-113.9192,32.7225,99,"COOP","8721"
"029464","WITTMANN 4SW",-112.5983,33.7478,533,"COOP","8801"
"030064","ALICIA 2 NNE",-91.0583,35.9289,77,"COOP","8824"
"030130","ALUM FORK",-92.8417,34.7961,213,"COOP","8826"
"030536","BEEDEVILLE 4",-91.0561,35.4583,67,"COOP","8855"
"030746","BLACK ROCK",-91.1039,36.1067,73,"COOP","8867"
"030764","BLAKELY MOUN",-93.1947,34.5697,130,"COOP","8868"
"031132","CALICO ROCK",-92.1636,36.1092,107,"COOP","8892"
"031140","CALION LOCK",-92.4850,33.3047,30,"COOP","8894"
"031191","CANE CREEK S",-91.7711,33.9153,79,"COOP","8899"
"031457","CLARKSVILLE",-93.4036,35.5328,259,"COOP","8916"
"031596","CONWAY",-92.4289,35.0842,96,"COOP","8923"
"031750","CRYSTAL VALL",-92.4500,34.6886,108,"COOP","8931"
"031838","DARDANELLE",-93.1675,35.2342,113,"COOP","8938"
"031910","DEGRAY LAKE",-93.1486,34.2531,149,"COOP","8943"
"032540","FORDYCE",-92.4322,33.8228,70,"COOP","8979"
"032794","GILBERT",-92.7147,35.9914,189,"COOP","8996"
"032962","GREENBRIER",-92.3619,35.2353,101,"COOP","9007"
"033132","HARDY",-91.5056,36.2747,201,"COOP","9017"
"033361","HINDSVILLE 1",-93.8214,36.2769,436,"COOP","9034"
"033466","HOT SPRINGS",-93.0522,34.5144,207,"COOP","9039"
"033831","KELSO 3 NW",-91.3397,33.8178,44,"COOP","9057"
"033862","KEO",-92.0072,34.6053,70,"COOP","9058"
"033909","KINGSTON 2S",-93.5206,36.0086,654,"COOP","9060"
"034106","LEAD HILL",-92.9094,36.4211,226,"COOP","9070"
"034548","MAGNOLIA",-93.2336,33.2506,97,"COOP","9089"
"034562","MALVERN",-92.8283,34.3817,95,"COOP","9091"
"034572","MAMMOTH SPRI",-91.5350,36.4947,153,"COOP","9092"
"034638","MARIANNA 2 S",-90.7661,34.7336,71,"COOP","9093"
"034938","MORRILTON",-92.7672,35.1581,104,"COOP","9111"
"035018","MOUNTAINBURG",-94.1542,35.6494,242,"COOP","9117"
"035036","MOUNTAIN HOM",-92.3939,36.3458,244,"COOP","9118"
"035046","MOUNTAIN VIE",-92.1042,35.9147,238,"COOP","9120"
"035079","MURFREESBORO",-93.7019,34.0783,121,"COOP","9124"
"035112","NASHVILLE",-93.8514,33.9303,122,"COOP","9126"
"035186","NEWPORT",-91.2744,35.6042,69,"COOP","9132"
"035512","OZARK 2",-93.8683,35.5125,253,"COOP","9148"
"035514","OZONE",-93.4436,35.6431,579,"COOP","9149"
"035563","PARAGOULD 1",-90.4978,36.0336,82,"COOP","9151"
"035591","PARKS",-93.9606,34.8186,185,"COOP","9155"
"035760","PINE RIDGE",-93.9011,34.5833,256,"COOP","9171"
"035820","POCAHONTAS 1",-90.9681,36.2639,96,"COOP","9173"
"035866","PORTLAND",-91.5044,33.2381,37,"COOP","9178"
"036253","ROHWER 2 NNE",-91.2703,33.8100,46,"COOP","9194"
"036403","SALEM",-91.8036,36.3561,207,"COOP","9204"
"036562","SHERIDAN",-92.3914,34.3019,76,"COOP","9208"
"036928","SUBIACO",-93.6369,35.3028,152,"COOP","9223"
"037488","WALDRON",-94.1942,34.8992,206,"COOP","9239"
"037712","WEST MEMPHIS",-90.1806,35.1242,66,"COOP","9249"
"037963","WINSLOW 7NE",-94.0203,35.8550,667,"COOP","9257"
"040444","BAKERSFIELD",-119.0508,35.4186,143,"COOP","9339"
"041244","BUTTONWILLOW",-119.4731,35.4047,82,"COOP","9476"
"042294","DAVIS 2 WSW",-121.7761,38.5350,18,"COOP","9675"
"042319","DEATH VALLEY",-116.8669,36.4622,-54,"COOP","9680"
"042713","EL CENTRO 2",-115.5617,32.7669,-9,"COOP","9739"
"043244","FREMONT",-122.0158,37.5422,12,"COOP","9820"
"043261","FRIANT GOVER",-119.7072,36.9969,125,"COOP","9827"
"043491","GOLD RUN 2 S",-120.8567,39.1650,1012,"COOP","9869"
"043573","GRASS VALLEY",-121.0681,39.2042,732,"COOP","9881"
"043714","HALF MOON BA",-122.4433,37.4725,8,"COOP","9906"
"043882","HEARST CASTL",-121.1683,35.6842,465,"COOP","9930"
"044500","KENTFIELD",-122.5439,37.9569,44,"COOP","10027"
"044712","LAKE SOLANO",-122.0039,38.4919,58,"COOP","10082"
"044881","LEE VINING",-119.1194,37.9567,2072,"COOP","10107"
"044890","LEMON COVE",-119.0264,36.3817,156,"COOP","10111"
"045100","LORAINE 5 NN",-118.4122,35.3836,1291,"COOP","10154"
"045118","LOS BANOS",-120.8697,37.0533,37,"COOP","10160"
"045280","MAMMOTH LAKE",-118.9617,37.6478,2379,"COOP","10190"
"045360","MARKLEY COVE",-122.1261,38.4939,146,"COOP","10205"
"045983","MOUNT SHASTA",-122.3081,41.3206,1094,"COOP","10313"
"046074","NAPA STATE H",-122.2642,38.2775,11,"COOP","10329"
"046136","NEVADA CITY",-121.0008,39.2467,848,"COOP","10338"
"046174","NEW MELONES",-120.4864,38.0047,293,"COOP","10353"
"046370","OCCIDENTAL",-122.9661,38.3858,264,"COOP","10386"
"046506","ORLAND",-122.1997,39.7458,77,"COOP","10414"
"046826","PETALUMA AIR",-122.6078,38.2578,6,"COOP","10482"
"048135","SHASTA DAM",-122.4161,40.7142,328,"COOP","10754"
"048218","SIERRAVILLE",-120.3706,39.5833,1516,"COOP","10768"
"048587","STONY GORGE",-122.5342,39.5861,244,"COOP","10846"
"049001","TRACY PUMPIN",-121.5828,37.7967,19,"COOP","10909"
"049035","TRONA",-117.3908,35.7636,517,"COOP","10914"
"049367","VISALIA",-119.2992,36.3283,91,"COOP","10978"
"049742","WINTERS",-121.9683,38.5228,41,"COOP","11047"
"050128","ALAMOSA 2S",-105.8614,37.4417,2296,"COOP","11087"
"050214","ALTENBERN",-108.3794,39.5008,1731,"COOP","11093"
"050454","BAILEY",-105.4767,39.4047,2356,"COOP","11118"
"050754","BLACK CANYON",-107.6869,38.5547,2484,"COOP","11131"
"050756","BLACK FOREST",-104.8017,39.0292,2120,"COOP","11132"
"051071","BUENA VISTA",-106.1275,38.8247,2422,"COOP","11161"
"051179","BYERS 5 ENE",-104.1275,39.7403,1554,"COOP","11169"
"051186","CABIN CREEK",-105.7089,39.6553,3054,"COOP","11170"
"051268","CAMPO 7 S",-102.5550,37.0158,1255,"COOP","11174"
"051294","CANON CITY",-105.2256,38.4600,1636,"COOP","11176"
"051528","CHEESMAN",-105.2783,39.2203,2097,"COOP","11188"
"051743","COLLBRAN 2SW",-107.9797,39.2367,1859,"COOP","11204"
"051772","COLORADO NAT",-108.7339,39.1014,1762,"COOP","11206"
"051959","CRESTED BUTT",-106.9764,38.8742,2698,"COOP","11230"
"051964","CRESTONE 1 S",-105.6867,37.9867,2473,"COOP","11231"
"051996","CROOK",-102.8031,40.8600,1131,"COOP","11235"
"052223","DENVER WATER",-105.0083,39.7294,1593,"COOP","11256"
"052281","DILLON 1 E",-106.0353,39.6261,2763,"COOP","11260"
"052761","ESTES PARK 1",-105.5108,40.3689,2373,"COOP","11300"
"052790","EVERGREEN",-105.3150,39.6381,2129,"COOP","11302"
"053261","GEORGETOWN",-105.6967,39.7156,2597,"COOP","11342"
"053307","GLADE PARK 1",-109.0528,38.9539,1946,"COOP","11343"
"053530","GRANT",-105.6794,39.4606,2644,"COOP","11368"
"053867","HAYDEN",-107.2547,40.4928,1963,"COOP","11397"
"054076","HOLLY",-102.1236,38.0494,1033,"COOP","11405"
"054082","HOLYOKE",-102.3006,40.5839,1137,"COOP","11407"
"054254","IGNACIO 8 E",-107.5333,37.0856,2018,"COOP","11417"
"054444","KARVAL",-103.5428,38.7411,1547,"COOP","11427"
"054452","KASSLER",-105.0953,39.4900,1703,"COOP","11428"
"054546","KIM 10SSE",-103.2986,37.1150,1615,"COOP","11434"
"054742","LAKE GEORGE",-105.4733,38.9058,2597,"COOP","11459"
"054770","LAMAR",-102.6306,38.0936,1106,"COOP","11462"
"054834","LAS ANIMAS",-103.2158,38.0642,1186,"COOP","11465"
"054945","LEROY 5 WSW",-102.9900,40.5031,1362,"COOP","11475"
"055402","MARSTON FILT",-105.0656,39.6211,1710,"COOP","11499"
"055531","MESA VERDE N",-108.4883,37.1986,2169,"COOP","11515"
"055706","MONTE VISTA",-106.1872,37.5811,2345,"COOP","11520"
"055733","MONUMENT 3S",-104.8683,39.0564,2079,"COOP","11527"
"055984","NORTHGLENN",-105.0133,39.8989,1648,"COOP","11546"
"056816","RALSTON RESE",-105.2353,39.8297,1798,"COOP","11609"
"056832","RANGELY 1 E",-108.7717,40.0894,1612,"COOP","11611"
"057515","SEDGWICK 5 S",-102.5161,40.8656,1216,"COOP","11668"
"058022","STRONTIA SPR",-105.1208,39.4344,1780,"COOP","11702"
"058436","TRINIDAD LAK",-104.5567,37.1503,1923,"COOP","11721"
"058690","VIRGINIA DAL",-105.2186,40.9656,2138,"COOP","11739"
"058781","WALSENBURG",-104.7739,37.6256,1875,"COOP","11743"
"058995","WHEAT RIDGE",-105.0731,39.7636,1666,"COOP","11759"
"059096","WILLIAMS FOR",-106.2039,40.0375,2332,"COOP","11766"
"059213","WOODROW 6 NN",-103.5678,40.0750,1333,"COOP","11773"
"063420","HAMPTON",-72.0550,41.7683,189,"COOP","11822"
"065445","NORFOLK 2 SW",-73.2208,41.9725,408,"COOP","11855"
"065910","NORWICH PUB",-72.0642,41.5269,6,"COOP","11866"
"067958","STAFFORDVILL",-72.2739,42.9975,229,"COOP","11892"
"068138","STORRS",-72.2500,41.8000,198,"COOP","11897"
"068330","THOMASTON DA",-73.0600,41.6931,164,"COOP","11900"
"069388","WEST THOMPSO",-71.9000,41.9500,110,"COOP","11922"
"081544","CHIPLEY",-85.4847,30.7836,40,"COOP","12031"
"082008","CROSS CITY 2",-83.1664,29.6497,13,"COOP","12056"
"082150","DAYTONA BEAC",-81.0139,29.1894,3,"COOP","12063"
"082915","FEDERAL POIN",-81.5389,29.7550,2,"COOP","12079"
"083163","FORT LAUDERD",-80.2011,26.1019,5,"COOP","12088"
"083207","FORT PIERCE",-80.3539,27.4622,8,"COOP","12098"
"083874","HASTINGS 4NE",-81.4669,29.7517,3,"COOP","12119"
"084050","HOLLYWOOD",-80.1342,26.0283,3,"COOP","12125"
"084095","HOMESTEAD GE",-80.5500,25.5011,3,"COOP","12128"
"084366","JACKSONVILLE",-81.3922,30.2900,3,"COOP","12141"
"084394","JASPER",-82.9447,30.5228,45,"COOP","12146"
"085076","LISBON",-81.7864,28.8728,21,"COOP","12174"
